sampling_date,t,coral_id,sample_id,bag_number,state
02.08.23,2,ESAL11,2ESAL11P,29,to do
02.08.23,2,ESAL12,2ESAL12P,5,to do
02.08.23,2,ESAL13,2ESAL13P,21,to do
02.08.23,2,ESML11,2ESML11P,7,to do
02.08.23,2,ESML12,2ESML12P,6,to do
02.08.23,2,ESML14,2ESML14P,10,to do
02.08.23,2,ESML15,2ESML15P,34,to do
02.08.23,2,ESML16,2ESML16P,12,to do
02.08.23,2,ESML17,2ESML17P,13,to do
02.08.23,2,ESPL03,2ESPL03P,15,to do
02.08.23,2,ESPL05,2ESPL05P,9,to do
02.08.23,2,ESPL06,2ESPL06P,14,to do
02.08.23,2,ESPL07,2ESPL07P,19,to do
02.08.23,2,ESPL09,2ESPL09P,22,to do
02.08.23,2,ESPL18,2ESPL18P,23,to do
02.08.23,2,ESPL19,2ESPL19P,25,to do
02.08.23,2,ESPL22,2ESPL22P,26,to do
02.08.23,2,ESPL23,2ESPL23P,24,to do
03.08.23,2,TSAL06,2TSAL06P,90,extracted
03.08.23,2,TSAL07,2TSAL07P,89,extracted
03.08.23,2,TSAL09,2TSAL09P,80,extracted
03.08.23,2,TSML26,2TSML26P,87,extracted
03.08.23,2,TSML27,2TSML27P,75,extracted
03.08.23,2,TSPL07,2TSPL07P,79,extracted
04.08.23,2,ESAL16,2ESAL16P,112,to do
04.08.23,2,ESAL19,2ESAL19P,109,to do
04.08.23,2,ESML04,2ESML04P,106,extracted
04.08.23,2,ESML05,2ESML05P,101,to do
04.08.23,2,ESML09,2ESML09P,100,to do
04.08.23,2,ESPL02,2ESPL02P,94,to do
04.08.23,2,ESPL04,2ESPL04P,105,to do
04.08.23,2,ESPL10,2ESPL10P,93,extracted
04.08.23,2,ESPL16,2ESPL16P,110,to do
04.08.23,2,ESPL20,2ESPL20P,92,extracted
04.08.23,2,ESPL21,2ESPL21P,99,to do
04.08.23,2,ESPL30,2ESPL30P,115,to do
04.08.23,2,ESPL32,2ESPL32P,108,to do
04.08.23,2,ESPL34,2ESPL34P,111,to do
07.08.23,2,TSML13,2TSML13P,144,extracted
07.08.23,2,TSML14,2TSML14P,145,extracted
07.08.23,2,TSML16,2TSML16P,157,extracted
07.08.23,2,TSML20,2TSML20P,139,extracted
07.08.23,2,TSML21,2TSML21P,133,extracted
11.08.23,2,2TSML32,2TSML32P,254,to do
14.08.23,2,TSML09,2TSML09P,294,to do
07.08.23,2,TSPL14,2TSPL14P,151,extracted
08.08.23,2,TSML17,2TSML17P,175,extracted
08.08.23,2,TSML18,2TSML18P,169,extracted
08.08.23,2,TSML19,2TSML19P,174,extracted
08.08.23,2,TSPL03,2TSPL03P,182,to do
08.08.23,2,TSPL04,2TSPL04P,160,extracted
08.08.23,2,TSPL05,2TSPL05P,163,extracted
08.08.23,2,TSPL12,2TSPL12P,162,extracted
08.08.23,2,TSPL15,2TSPL15P,184,extracted
08.08.23,2,TSPL22,2TSPL22P,187,extracted
08.08.23,2,TSPL23,2TSPL23P,188,extracted
08.08.23,2,TSPL24,2TSPL24P,186,extracted
08.08.23,2,TSPL32,2TSPL32P,177,extracted
08.08.23,2,TSPL38,2TSPL38P,167,extracted
09.08.23,2,ESAL15,2ESAL15P,216,to do
09.08.23,2,ESAL26,2ESAL26P,225,to do
09.08.23,2,ESAL27,2ESAL27P,223,to do
09.08.23,2,ESAL28,2ESAL28P,224,to do
09.08.23,2,ESAL33,2ESAL33P,212,to do
09.08.23,2,ESAL35,2ESAL35P,219,to do
09.08.23,2,ESML01,2ESML01P,208,to do
09.08.23,2,ESML02,2ESML02P,209,to do
09.08.23,2,ESML03,2ESML03P,191,to do
09.08.23,2,ESML13,2ESML13P,204,extracted
09.08.23,2,ESPL08,2ESPL08P,198,to do
10.08.23,2,ESAL01,2ESAL01P,250,extracted
10.08.23,2,ESAL02,2ESAL02P,242,to do
10.08.23,2,ESAL03,2ESAL03P,246,to do
10.08.23,2,ESAL04,2ESAL04P,249,to do
10.08.23,2,ESAL05,2ESAL05P,243,to do
10.08.23,2,ESAL06,2ESAL06P,241,to do
10.08.23,2,ESAL08,2ESAL08P,234,to do
10.08.23,2,ESAL20,2ESAL20P,235,to do
10.08.23,2,ESAL29,2ESAL29P,233,to do
10.08.23,2,ESML07,2ESML07P,205,to do
10.08.23,2,ESML21,2ESML21P,248,to do
10.08.23,2,ESML24,2ESML24P,240,to do
10.08.23,2,ESML25,2ESML25P,237,to do
10.08.23,2,ESML26,2ESML26P,236,to do
11.08.23,2,TSPL34,2TSPL34P,256,to do
14.08.23,2,TSAL38,2TSAL38P,293,to do
14.08.23,2,TSPL17,2TSPL17P,278,extracted
14.08.23,2,TSPL18,2TSPL18P,281,extracted
14.08.23,2,TSPL20,2TSPL20P,274,extracted
14.08.23,2,TSPL21,2TSPL21P,282,extracted
14.08.23,2,TSPL39,2TSPL39P,279,extracted
14.08.23,2,TSPL41,2TSPL41P,286,to do
14.08.23,2,TSPL42,2TSPL42P,287,to do
15.08.23,2,ESML23,2ESML23P,296,extracted
15.08.23,2,ESML32,2ESML32P,307,extracted
21.08.23,2,TSAL39,2TSAL39P,370,extracted
21.08.23,2,TSAL40,2TSAL40P,372,extracted
22.08.23,2,TSML34,2TSML34P,406,extracted
22.08.23,2,TSML35,2TSML35P,384,extracted
22.08.23,2,TSML36,2TSML36P,385,extracted
22.08.23,2,TSML37,2TSML37P,386,extracted
22.08.23,2,TSML38,2TSML38P,387,extracted
22.08.23,2,TSML39,2TSML39P,388,extracted
22.08.23,2,TSML40,2TSML40P,389,extracted
23.08.23,2,TSAL41,2TSAL41P,407,extracted
23.08.23,2,TSAL42,2TSAL42P,408,to do
23.08.23,2,TSAL43,2TSAL43P,409,to do
29.08.23,2,TSAL44,2TSAL44P,449,to do
29.08.23,2,TSAL45,2TSAL45P,451,to do
29.08.23,2,TSML44,2TSML44P,472,extracted
11.08.23,2,ESPL26,2ESPL26P,270,to do
19.03.24,B,TSAL49,BTSAL49P,19,to do
19.03.24,B,TSAL50,BTSAL50P,10,to do
19.03.24,B,TSAL51,BTSAL51P,9,to do
19.03.24,B,TSAL52,BTSAL52P,8,to do
19.03.24,B,TSAL53,BTSAL53P,7,to do
20.03.24,B,TSAL54,BTSAL54P,37,to do
20.03.24,B,TSAL56,BTSAL56P,38,to do
20.03.24,B,TSAL57,BTSAL57P,39,to do
20.03.24,B,TSAL58,BTSAL58P,40,to do